entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables
34221448,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",8450.0,2049.0,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,180.0,Ry,2017-01-01,2017-12-31,-5133.0,-6581.0,-6401.0,2018-12-31,2018-01-01,true,-1448.0,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,,,,,,,,
34221448,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,-5133.0,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,,,,,,,,
34221448,2017-12-31,2017-12-31,c6,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,48931.0,28483.0,80000.0,48931.0,20365.0,42833.0,48931.0,6098.0,6098.0,-37167.0,6098.0,20448.0,83.0
34221448,2018-01-01,2018-01-01,c7,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,80000.0,,,,,,,
34221448,2018-01-01,2018-01-01,c8,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,-37167.0,,,,,,,
34221448,2018-01-01,2018-01-01,c9,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,42833.0,,,,,,,
34221448,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,-11308.0,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,1198.0,Ry,2017-01-01,2017-12-31,-9755.0,-12506.0,-11308.0,2018-12-31,2018-01-01,true,-2751.0,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,,,,,,,,
34221448,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,,,,,,,,
34221448,2018-01-01,2018-12-31,c10,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,-9755.0,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,,,,,,,,
34221448,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzM1LzFmLzQyLzcyYWUtNGZhOC04MDU5LTQ2NGRkMzc4Y2I5MQ.xhtml,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzkxLzliLzE2LzVlL2FmM2UtNDAwYy1iOWMxLWExNWQ2ZmIwZjgyYw.pdf,http://regnskaber.virk.dk/84412243/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzhiLzBhLzY1LzE1MjMtNGM5ZS1hZDFmLTFkZGFiZjAzNDBlOQ.xml,true,Ry,8680.0,"60, 2 4",Rugaards Skovvej,8680 Ry,"Rugaards Skovvej 60, 2 4",0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-30,2019-04-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,34221448.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Emil Mortensen,Emil Mortensen,INGENIÃRFIRMAET EMIL MORTENSEN ApS,Emil Mortensen,,Ry,2017-01-01,2017-12-31,-9755.0,,,2018-12-31,2018-01-01,true,,20480414.0,false,false,Ingen bistand,urn:ofk:oid:27060344,indberetninger-20180424,2.5949402000000004,34221448.0,AWpzrsirRYGX6_YTHShg,2019-05-01T13:57:17.758Z,2019-05-01T13:56:33.721Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AZ-93-UN,2019-05-01T13:56:34.346Z,,,,,,,,,,,,,
