Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,-26181588.0,0.0,68957.0,0.0,0.0,0.0,0.0,100236672.0,0.0,0.0
13,2012-01-01,-27580393.0,0.0,86222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2012-01-01,-27580393.0,0.0,86222.0,0.0,0.0,0.0,0.0,100236672.0,0.0,2100.0
14,2013-01-01,2516609.0,0.0,78802.0,0.0,0.0,0.0,0.0,100236672.0,0.0,2100.0
15,2013-01-01,2516609.0,0.0,78802.0,0.0,0.0,0.0,0.0,100236672.0,0.0,2100.0
15,2014-01-01,2575896.0,0.0,-70508.0,0.0,0.0,0.0,0.0,100236672.0,0.0,2100.0
18,2016-01-01,2564354.0,0.0,86683.0,0.0,0.0,0.0,0.0,100236673.0,0.0,2100.0
18,2017-01-01,5365316.0,0.0,110693.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0
19,2017-01-01,5365316.0,0.0,110693.0,0.0,0.0,0.0,0.0,2669033.0,0.0,2100.0
19,2018-01-01,4184774.0,0.0,125798.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0
