Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
14,2012-01-01,0.0,-21743.0,0.0,0.0,0.0,0.0,114883.0,0.0,0.0,1100.0
14,2013-01-03,-16309.0,-21743.0,0.0,0.0,0.0,0.0,114883.0,0.0,0.0,1100.0
15,2013-01-03,-16309.0,-21743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
15,2014-01-01,45094658.0,45091480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
16,2014-01-01,45094658.0,45091480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
16,2015-01-01,756756.0,715118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
17,2015-01-01,756756.0,-20800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
17,2016-01-01,-8273576.0,-22048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
17,2016-01-01,-8273576.0,-22048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
17,2017-01-01,31037153.0,-90801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
19,2017-01-01,31037153.0,-90801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
19,2017-10-01,-9660245.0,-66625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
