Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
15,2013-01-01,38316.0,247707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
15,2014-01-01,77352.0,302815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
16,2014-01-01,77352.0,302815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
16,2015-01-01,253130.0,492167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
17,2015-01-01,253130.0,492167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
17,2016-01-01,216254.0,358283.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,4671.0
18,2016-01-01,216254.0,358283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
18,2017-01-01,308825.0,474339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
19,2017-01-01,308825.0,474339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
19,2018-01-01,193936.0,328284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0
