Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,87000.0,0.0,831000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2012-01-01,-1898.0,0.0,778554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2012-01-01,-2000.0,0.0,779000.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
14,2013-01-01,-21220.0,0.0,682430.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
15,2013-01-01,-21000.0,0.0,683000.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
15,2014-01-01,-2197.0,0.0,879878.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
16,2014-01-01,-2000.0,0.0,880000.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
16,2015-01-01,-206515.0,0.0,692544.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
17,2015-01-01,-207000.0,0.0,691000.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
17,2016-01-01,129612.0,0.0,663220.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
18,2016-01-01,130000.0,0.0,662000.0,0.0,0.0,2000.0,0.0,0.0,0.0,4200.0
18,2017-01-01,11631.0,0.0,244698.0,0.0,0.0,1.0,0.0,0.0,0.0,4200.0
19,2017-01-01,12000.0,0.0,245000.0,0.0,0.0,1000.0,0.0,0.0,0.0,4200.0
19,2018-01-01,60751.0,0.0,334465.0,0.0,0.0,1.0,0.0,0.0,0.0,4200.0
