Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,350000.0,0.0,3128000.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0
13,2012-01-01,1175882.0,0.0,3355116.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0
14,2012-01-01,320000.0,0.0,3355116.0,0.0,0.0,0.0,0.0,500000.0,0.0,6400.0
14,2013-01-01,743548.0,0.0,2692500.0,0.0,0.0,0.0,0.0,2151293.0,0.0,6400.0
15,2013-01-01,635000.0,0.0,2695000.0,0.0,0.0,0.0,0.0,500000.0,0.0,6400.0
15,2014-01-01,1431888.0,0.0,3490889.0,0.0,0.0,0.0,0.0,2259842.0,0.0,6400.0
16,2014-01-01,1000000.0,0.0,3543000.0,0.0,0.0,0.0,0.0,500000.0,0.0,6400.0
16,2015-01-01,1784490.0,0.0,3856777.0,0.0,0.0,0.0,0.0,500000.0,0.0,6400.0
17,2015-01-01,1500000.0,0.0,3856777.0,0.0,0.0,20.0,0.0,500000.0,0.0,6400.0
17,2016-01-01,529551.0,0.0,2143629.0,0.0,0.0,16.0,0.0,500000.0,0.0,6400.0
18,2016-01-01,500000.0,0.0,2142000.0,0.0,0.0,16.0,0.0,0.0,0.0,6400.0
18,2017-01-01,936416.0,0.0,2558670.0,0.0,0.0,15.0,0.0,0.0,0.0,6400.0
19,2017-01-01,900000.0,0.0,2557000.0,0.0,0.0,15.0,0.0,0.0,0.0,6400.0
19,2018-01-01,905856.0,0.0,2991868.0,0.0,0.0,16.0,0.0,0.0,0.0,6400.0
