Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,98205.0,0.0,3902615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2012-01-01,345.0,0.0,4354420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2012-01-01,345.0,0.0,4426260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2013-01-01,773553.0,0.0,5023597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2013-01-01,773553.0,0.0,5023597.0,0.0,0.0,0.0,0.0,0.0,0.0,7330.0
15,2014-01-01,726676.0,0.0,5454959.0,0.0,0.0,0.0,0.0,0.0,0.0,7330.0
18,2016-01-01,103400.0,0.0,5049459.0,0.0,0.0,5.0,0.0,0.0,0.0,7330.0
18,2017-01-01,375178.0,0.0,4157600.0,0.0,0.0,5.0,0.0,343446.0,0.0,7330.0
19,2017-01-01,1200000.0,0.0,4157600.0,0.0,0.0,5.0,0.0,4102101.0,0.0,7330.0
19,2018-01-01,749875.0,0.0,5495644.0,0.0,0.0,6.0,0.0,3620726.0,0.0,7330.0
