Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
15,2013-01-01,-25077.0,5941.0,0.0,86910.0,0.0,0.0,0.0,0.0,0.0,8660.0
15,2014-01-01,17840.0,57331.0,0.0,139629.0,0.0,0.0,0.0,0.0,0.0,8660.0
16,2014-01-01,17840.0,57331.0,0.0,139629.0,0.0,0.0,0.0,0.0,0.0,8660.0
16,2015-01-01,-42975.0,-28280.0,0.0,91776.0,0.0,0.0,0.0,0.0,0.0,8660.0
17,2015-01-01,-42975.0,-28280.0,0.0,91776.0,0.0,0.0,0.0,0.0,0.0,8660.0
17,2016-01-01,-73963.0,-48270.0,0.0,73051.0,0.0,0.0,0.0,0.0,0.0,8660.0
18,2016-01-01,-73963.0,-48270.0,0.0,73051.0,0.0,0.0,0.0,0.0,0.0,8660.0
18,2017-01-01,-26700.0,-15909.0,0.0,73261.0,0.0,0.0,0.0,-129723.0,0.0,8660.0
19,2017-01-01,-26700.0,-15909.0,0.0,73261.0,0.0,0.0,0.0,0.0,0.0,8660.0
19,2018-01-01,60686.0,110268.0,0.0,184268.0,0.0,0.0,0.0,-156423.0,0.0,8660.0
