Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
14,2012-01-01,-96600.0,-9082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
14,2013-01-01,-98400.0,-9559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
15,2013-01-01,-98400.0,-9559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
15,2014-01-01,-99800.0,-9756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
16,2014-01-01,-99800.0,-9756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
16,2015-01-01,-101200.0,-15427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
17,2015-01-01,-101200.0,-15427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
17,2016-01-01,-103400.0,-16828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
18,2016-01-01,-97962.0,0.0,-16827.0,0.0,0.0,0.0,0.0,125000.0,0.0,8600.0
18,2017-01-01,-28130.0,0.0,-16517.0,0.0,0.0,0.0,0.0,125000.0,0.0,8600.0
19,2017-01-01,105800.0,0.0,-16517.0,0.0,0.0,0.0,0.0,125000.0,0.0,8600.0
19,2018-01-01,-230328.0,0.0,-24568.0,0.0,0.0,0.0,0.0,125000.0,0.0,8600.0
