Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,115040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2012-01-01,-5629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2012-01-01,-947.0,-5750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0
14,2013-01-01,427887.0,-7055.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,2820.0
15,2013-01-01,434413.0,0.0,-7055.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0
15,2014-01-01,474546.0,0.0,-6250.0,0.0,0.0,0.0,0.0,80000.0,0.0,2820.0
16,2014-01-01,486762.0,0.0,-6250.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0
16,2015-01-01,-11028.0,0.0,-6250.0,0.0,0.0,0.0,0.0,80000.0,0.0,2820.0
17,2015-01-01,2912.0,0.0,-6250.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0
17,2016-01-01,532922.0,0.0,-6250.0,0.0,0.0,0.0,0.0,80000.0,0.0,2820.0
19,2017-01-01,570098.0,0.0,-6250.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0
19,2018-01-01,167321.0,0.0,-6250.0,0.0,0.0,0.0,0.0,80000.0,0.0,2820.0
