Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2011-03-01,1201000.0,4689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2012-03-01,1205070.0,6475568.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,0.0
14,2012-03-01,1205000.0,6475000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9210  Aalborg SÃ
14,2013-03-01,984916.0,6687417.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,9210  Aalborg SÃ
15,2013-03-01,984916.0,0.0,6423709.0,0.0,0.0,0.0,0.0,125000.0,0.0,9210.0
15,2014-03-01,767447.0,0.0,6334498.0,0.0,0.0,0.0,0.0,125000.0,0.0,9210.0
16,2014-03-01,585341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9210.0
16,2015-03-01,857335.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,0.0,9210.0
17,2015-03-01,677335.0,0.0,7000354.0,0.0,0.0,16.0,0.0,0.0,0.0,9210.0
17,2016-03-01,1486046.0,0.0,8230314.0,0.0,0.0,16.0,0.0,125000.0,0.0,9210.0
18,2016-03-01,1486045.0,0.0,8230313.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
18,2016-03-01,1486045.0,0.0,8230313.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
18,2017-03-01,1070474.0,0.0,7722158.0,0.0,0.0,16.0,0.0,-125000.0,0.0,0.0
18,2017-03-01,1070474.0,0.0,7722158.0,0.0,0.0,16.0,0.0,-125000.0,0.0,0.0
19,2017-03-01,1070474.0,0.0,7722158.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
19,2018-03-01,1024816.0,0.0,7253779.0,0.0,0.0,15.0,0.0,-125000.0,0.0,0.0
