Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2010-10-01,653000.0,6030000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2011-10-01,-34335.0,5809027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2011-10-01,0.0,5810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
14,2012-10-01,0.0,6579635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
15,2012-10-01,118748.0,6579635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
15,2013-10-01,375456.0,8616503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
16,2013-10-01,375000.0,0.0,8395000.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
16,2014-10-01,1608064.0,0.0,9628619.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
17,2014-10-01,1608000.0,0.0,9625000.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
17,2015-10-01,1411185.0,0.0,10434739.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
18,2015-10-01,1411000.0,0.0,10435000.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
18,2016-10-01,1821401.0,0.0,11386264.0,0.0,0.0,0.0,0.0,0.0,0.0,7190.0
19,2016-10-01,1821401.0,0.0,12046456.0,0.0,0.0,14.0,0.0,0.0,0.0,7190.0
19,2017-10-01,444249.0,0.0,11548399.0,0.0,0.0,14.0,0.0,500000.0,0.0,7190.0
