Year,Start_date,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,2010-10-01,2812000.0,0.0,5035000.0,5187000.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2011-10-01,2944204.0,0.0,4991288.0,5436139.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2011-10-01,-2944000.0,-4955000.0,0.0,-5436000.0,0.0,0.0,0.0,0.0,0.0,7400.0
14,2012-10-01,-3357308.0,-5335038.0,0.0,-5608204.0,0.0,0.0,0.0,0.0,0.0,7400.0
15,2012-10-01,-3357000.0,-5287000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
15,2013-10-01,-3514555.0,-5387256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
16,2013-10-01,-3515000.0,-5386000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
16,2014-10-01,-3555809.0,-5509880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
17,2014-10-01,3556000.0,-5509000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
17,2015-10-01,2703121.0,-5337281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
18,2015-10-01,2703000.0,5337000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
18,2016-10-01,2753293.0,4036036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
19,2016-10-01,2753000.0,4037000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
19,2017-10-01,3741555.0,4879349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7400.0
