Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,-746691.0,0.0,35127.0,0.0,6731757.0,0.0,6731757.0,-305496.0,0.0,0.0
14,-182924.0,0.0,-31224.0,0.0,5916565.0,0.0,5916565.0,488420.0,0.0,0.0
15,227176.0,0.0,-40742.0,0.0,5700243.0,0.0,5700243.0,261244.0,0.0,0.0
16,-287133.0,0.0,-31192.0,0.0,5633713.0,0.0,5633713.0,548377.0,0.0,0.0
