Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-25035.0,136610.0,0.0,136610.0,784873.0,0.0,784873.0,121166.0,0.0,6710.0
16,4063.0,53229.0,0.0,57550.0,684965.0,0.0,684965.0,125229.0,0.0,6710.0
17,-1817.0,35495.0,0.0,41900.0,683546.0,0.0,683546.0,123412.0,0.0,6710.0
18,-21512.0,5544.0,0.0,6000.0,579763.0,0.0,579763.0,101900.0,0.0,6710.0
19,10660.0,26852.0,0.0,27200.0,586699.0,0.0,586699.0,112560.0,0.0,6710.0
