Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,48300.0,0.0,0.0,0.0,1738571.0,0.0,516255.0,-1738571.0,0.0,0.0
14,141301.0,0.0,0.0,0.0,1557680.0,0.0,876665.0,1549685.0,0.0,0.0
15,1455625.0,-51298.0,0.0,0.0,2965005.0,0.0,2965005.0,2957010.0,0.0,2920.0
16,-95001.0,0.0,0.0,0.0,2571405.0,0.0,2571405.0,2562009.0,0.0,2920.0
17,-124403.0,0.0,0.0,0.0,2263846.0,0.0,621573.0,2237606.0,0.0,2920.0
18,18464.0,0.0,0.0,0.0,1982314.0,0.0,467954.0,1956070.0,0.0,2920.0
19,54507.0,0.0,0.0,0.0,1836388.0,0.0,152391.0,1810577.0,0.0,2920.0
