Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
12,705256.0,2322194.0,0.0,2814449.0,17016895.0,2.0,17016895.0,5205256.0,0.0,0.0
13,788317.0,2990121.0,0.0,3367284.0,21449491.0,1.0,21449491.0,5993573.0,0.0,0.0
14,709828.0,2305421.0,0.0,2912754.0,11258831.0,1.0,11258831.0,6703401.0,0.0,5220.0
15,1212408.0,1675609.0,0.0,2031602.0,14799756.0,0.0,14799756.0,7915809.0,0.0,5220.0
16,1147028.0,0.0,1098620.0,0.0,14088699.0,0.0,14088699.0,9062837.0,0.0,5220.0
17,1473958.0,0.0,1528558.0,0.0,12530886.0,1.0,12530886.0,10536795.0,0.0,5220.0
19,1038591.0,0.0,1324855.0,0.0,9740937.0,1.0,9740937.0,5575386.0,0.0,5220.0
