Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,70810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,80358.0,0.0,0.0,0.0,0.0,0.0,0.0,3672436.0,0.0,0.0
15,5120.0,0.0,-13712.0,0.0,3348556.0,0.0,0.0,3348556.0,0.0,0.0
16,58072.0,0.0,-7903.0,0.0,2951961.0,0.0,0.0,2906628.0,0.0,0.0
17,53468.0,0.0,-8208.0,0.0,2509532.0,0.0,0.0,2460096.0,0.0,0.0
18,12691.0,0.0,-8333.0,0.0,2272787.0,0.0,0.0,2272787.0,0.0,0.0
19,74262.0,0.0,-9594.0,0.0,2160451.0,0.0,0.0,2147049.0,0.0,0.0
