Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,427541.0,0.0,2775229.0,0.0,6145848.0,0.0,5865720.0,1930161.0,1083590.0,2100.0
16,590339.0,0.0,4322074.0,0.0,7844938.0,0.0,7415401.0,2520500.0,390026.0,2100.0
17,1049084.0,0.0,5399966.0,0.0,6760371.0,0.0,6079329.0,3569584.0,0.0,2100.0
18,1386658.0,0.0,5457670.0,0.0,8387848.0,11.0,7784505.0,4956242.0,1296643.0,2100.0
19,411832.0,0.0,3788645.0,0.0,7893960.0,7.0,7561627.0,5368074.0,1512870.0,2100.0
