Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13060674.0,30662273.0,0.0,0.0,29944442.0,0.0,26590887.0,29099930.0,3885639.0,8700  Horsens
15,20866822.0,41793163.0,0.0,0.0,48477150.0,0.0,45495399.0,47466754.0,3838163.0,8700  Horsens
16,-9057912.0,54725674.0,0.0,0.0,46016766.0,0.0,43270816.0,44408841.0,3665345.0,8700 Horsens
18,54059844.0,0.0,87979113.0,0.0,59996621.0,13.0,0.0,58511714.0,4768171.0,8700 Horsens
19,36554672.0,0.0,63622624.0,0.0,43047211.0,15.0,0.0,41066386.0,4018973.0,8700 Horsens
