Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,-32065.0,0.0,0.0,0.0,206656.0,0.0,206656.0,194281.0,0.0,1261.0
14,-166422.0,0.0,0.0,0.0,46984.0,0.0,46984.0,27859.0,0.0,2300.0
15,-14787.0,0.0,0.0,0.0,45432.0,0.0,0.0,13072.0,0.0,2300.0
17,-8570.0,0.0,-8570.0,0.0,48954.0,0.0,48954.0,22345.0,0.0,0.0
18,6649.0,0.0,-138.0,0.0,55416.0,1.0,55416.0,28994.0,0.0,0.0
19,-350.0,0.0,-350.0,0.0,55066.0,1.0,55066.0,28644.0,0.0,0.0
