Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,125558.0,0.0,296523.0,0.0,904635.0,2.0,623934.0,783270.0,0.0,5600.0
16,-100934.0,0.0,47400.0,0.0,823702.0,2.0,564222.0,682336.0,0.0,5600.0
17,-14967.0,0.0,178408.0,0.0,801749.0,1.0,491996.0,667370.0,0.0,5600.0
18,14283.0,0.0,153062.0,0.0,838981.0,1.0,417259.0,681653.0,0.0,5600.0
19,104964.0,0.0,265534.0,0.0,923441.0,1.0,389656.0,786617.0,0.0,5600.0
