Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
12,4237.0,0.0,-3875.0,0.0,1713211.0,0.0,1713211.0,1615312.0,0.0,0.0
14,23898.0,0.0,-4405.0,0.0,1644861.0,0.0,1644861.0,1273211.0,0.0,0.0
15,27328.0,0.0,-4398.0,0.0,849039.0,0.0,849039.0,650539.0,0.0,0.0
16,21630.0,0.0,-3145.0,0.0,334887.0,0.0,334887.0,314169.0,0.0,0.0
16,21630.0,0.0,-3145.0,0.0,334887.0,0.0,334887.0,314169.0,0.0,0.0
17,4978.0,0.0,-3853.0,0.0,204518.0,0.0,204518.0,179147.0,0.0,0.0
