Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,58138.0,0.0,371860.0,0.0,7204087.0,0.0,7204087.0,675144.0,5839545.0,0.0
15,-38443.0,0.0,325758.0,0.0,6425293.0,0.0,6425293.0,691535.0,5056876.0,2630.0
17,600777.0,0.0,202887.0,0.0,5324700.0,0.0,782393.0,1059818.0,0.0,2630.0
19,364238.0,0.0,282779.0,0.0,3249234.0,0.0,919403.0,1716139.0,0.0,2630.0
