Year,ProfitLoss,GrossResult,GrossProfitLoss,Revenue,Assets,AverageNumberOfEmployees,CurrentAssets,Equity,Inventories,AddressOfReportingEntityPostCodeIdentifier
12,0.0,0.0,1048139.0,0.0,839875.0,0.0,839875.0,71889.0,15000.0,0.0
13,100000.0,0.0,1142143.0,0.0,1346578.0,0.0,1295772.0,274383.0,45000.0,0.0
14,100000.0,0.0,1133229.0,0.0,1306392.0,0.0,1306392.0,595951.0,10000.0,8831.0
15,100000.0,0.0,1689755.0,0.0,1987213.0,0.0,1987213.0,125000.0,10000.0,8831.0
16,100000.0,0.0,1742733.0,0.0,2442657.0,0.0,2442657.0,125000.0,78150.0,8831.0
17,100000.0,0.0,2167310.0,0.0,3549752.0,3.0,2222402.0,1498833.0,25000.0,8800.0
18,50000.0,0.0,2099112.0,0.0,3952756.0,3.0,2590013.0,1948519.0,25000.0,8800.0
19,100000.0,0.0,2157884.0,0.0,4927601.0,2.0,3534936.0,2409239.0,25000.0,8800.0
