entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IncreaseDecreaseOfEquityThroughChangesInAccountingPolicies,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,IncreaseOfCapital,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpense,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,ConvertibleProfitYieldingOrDividendYieldingLongtermDebtInstruments,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,SharePremium,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfDevelopmentInActivitiesAndFinancialAffairs,DescriptionOfMethodsOfLeases,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfSales,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfLiabilitiesUnderLeases,IdentificationOfApprovedAnnualReport,InformationOnAnyPartOfLiabilityFallingDueInMoreThanFiveYears,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OpinionOnFinancialStatementsExtendedReview,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,StatementOfExecutiveAndSupervisoryBoardsResponsibilityForFinancialStatementsExtendedReview,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TransferredFromSharePremium,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,NameAndSurnameOfMemberOfExecutiveBoard,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
33080603,2016-01-01,2016-01-01,c309,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,83478.0,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-01-01,c324,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,7325375.0,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-01-01,c354,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,-3186030.0,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,-13066686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-12-31,c310,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,22016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-12-31,c325,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,13325875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-12-31,c355,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,-13066686.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-01-01,2016-12-31,c4,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,-13066686.0,,13.0,106466.0,6686079.0,-6256862.0,0.0,0.0,844986.0,39115.0,311626.0,844986.0,39115.0,412859.0,-13855278.0,-13049407.0,165222.0,-788592.0,5796372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2016-12-31,2016-12-31,c5,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,-3331974.0,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,,,,,,,,,,,,,,,,,,,11187140.0,0.0,105494.0,0.0,11016934.0,2542733.0,53594.0,30700.0,95693.0,4942158.0,43813.0,11187140.0,14519114.0,30700.0,0.0,0.0,170206.0,867844.0,2507322.0,139506.0,4942158.0,-24088718.0,20651250.0,9872310.0,14519114.0,710630.0,0.0,1350.0,6074776.0,0.0,1.0,0.0,3066980.0,971126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33080603,2017-01-01,2017-01-01,c312,,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzL2JlLzA0LzA4LzhkL2NjNjAtNGY2NS1iYWRiLTM5YjBhMjQ4N2RlOA.pdf,http://regnskaber.virk.dk/30608033/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzM1LzkwL2UzL2E4MzAtNDJiZC04MjI0LWI1NGI2ZWE3YzU4Yw.xml,12.0,8462.0,2018-05-29,2018-05-29,2010-08-01,2018-06-15,105494.0,30700228.0,33080603.0,30700228.0,-7836002.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,true,2018-05-29,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25835515,indberetninger-20180424,2.5118417999999996,33080603.0,AWQC8d_r0wkEsASktxb9,2018-06-15T10:16:48.725Z,2018-06-15T10:16:02.586Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-17-KZ,2018-06-15T10:16:02.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
