cvr,dates 
34093776,20150101
87675513,20150101,20151201
25947444,20150101,20151201
34093784,20150101
28978901,20150101
29800197,20150101
31785219,20150101
29443920,20150101
27719554,20150101
25512448,20150101
28711395,20150101
30196880,20150101
34093741,20150101
27312098,20150101,20151111
10203988,20150101
31165865,20150101
36086211,20150101
34687412,20150101
34898146,20150101
29316961,20150101,20150624
30350421,20150101
31253411,20150101
25512294,20150101
29618054,20150102
32141056,20150102
33070950,20150102
10145619,20150102,20151203
34582815,20150102,20150527
73424011,20150102
28290861,20150102
28290896,20150102
28290888,20150102
76248311,20150102
75643217,20150102
34485356,20150102,20151129
27981623,20150102
30906241,20150102
32077919,20150102
32938590,20150102
28512635,20150102
33885806,20150102
42907111,20150102
33241518,20150102
35665641,20150102,20151028
35050825,20150102
27919219,20150102
29692548,20150102
32553060,20150102
30613791,20150102
30833066,20150102,20151221
31425662,20150102,20151130
31499682,20150102,20151211
17642472,20150102
19039307,20150102
39915111,20150102
26760194,20150102,20151218
26892457,20150102,20151221
31165180,20150102,20151223
32888127,20150102
20445831,20150102
27206131,20150102,20151211
35891668,20150102
15933305,20150102
77446710,20150102,20151217
26553628,20150102
26655463,20150102
34485275,20150102,20151129
27449042,20150102
27514472,20150102,20151229
73517915,20150102,20151221
10056853,20150102,20151130
29520577,20150102,20151217
33245564,20150102,20151201
31432081,20150102
32059295,20150102
32365930,20150102,20151221
32937535,20150102
32946747,20150102
15205776,20150102
33265840,20150102
34621098,20150102,20150709
27780008,20150102,20151127
31500672,20150102,20151223
32077781,20150102
26218020,20150102
34084467,20150102
34351090,20150102,20151223
27439373,20150102
21659703,20150102
31499623,20150102,20151211
66175014,20150102,20151130
31618207,20150102
29219605,20150102
34470561,20150102,20151129
34491909,20150102,20151127
71207919,20150102
32931545,20150102
32878865,20150102,20151221
19550036,20150102,20151222
27033776,20150102,20151201
27762204,20150102
29132216,20150102
29975647,20150102
30986938,20150102
16396273,20150102
32562779,20150102,20151204
34223823,20150102
32289630,20150102
20958278,20150102
81895716,20150102
28512600,20150102
34485402,20150102,20151105
36021047,20150102,20151008
26264871,20150102,20151217
32289649,20150102
31605199,20150102,20151203
20061480,20150102,20151117
34739625,20150102,20151223
73481228,20150102,20151218
32310389,20150102
35831738,20150102
35645187,20150102
28893493,20150102
31177545,20150102,20151223
26213967,20150102,20151122
20345799,20150102
27728405,20150102
27616690,20150103,20151220
27055346,20150103,20151211
35049673,20150103
17983148,20150103
29415064,20150103,20151221
34622310,20150103
29225249,20150103
29824266,20150103
30351797,20150103
15832177,20150103
27006930,20150103
31348579,20150103
34475199,20150103,20151210
27463363,20150103
31158346,20150103
29426716,20150103
33758065,20150103
30284380,20150103
32781284,20150103
28107838,20150103
32840744,20150103
32840760,20150103
31499224,20150103
30570928,20150103
33880804,20150103
70902613,20150103
29818207,20150103,20151203
31158362,20150103
78816228,20150104,20150721
33033443,20150104
33036337,20150104
10111013,20150104,20151008
33244258,20150104,20151222
35238042,20150104,20150713
29827621,20150104
32840795,20150104
29526184,20150104
33582439,20150104,20150611
34483019,20150104
35033173,20150104,20150612
35235957,20150104,20150713
35409904,20150104,20151127
32345131,20150104
30585186,20150104
35519432,20150104,20151221
30585615,20150104
30808193,20150104,20150825
15205873,20150104
34201900,20150104,20151214
28295162,20150104,20151221
35521445,20150104,20151211
35519556,20150104,20151009
35481087,20150104
35481672,20150104
32095860,20150104,20150603
35232699,20150104,20151221
35252916,20150104,20151201
35465510,20150104,20151204
36021454,20150104
29513147,20150104
11592392,20150104,20151202
32474950,20150104
17294431,20150104
33582080,20150104,20150611
28107382,20150104
35205098,20150104
35238026,20150104,20150630
29824088,20150104,20150622,20151002,20151216
28295189,20150104,20151221
32763669,20150104,20151218
16258148,20150104
29136262,20150104,20151130
27921655,20150104
39222213,20150104
15961279,20150105
32310400,20150105,20151209
27030777,20150105,20151221
27143792,20150105
27128076,20150105
28118562,20150105
29424993,20150105
29619913,20150105,20151130
31088348,20150105,20151120
30560876,20150105,20151221
31430666,20150105
32096093,20150105
30248104,20150105
27171052,20150105
34228086,20150105
25170660,20150105
28502001,20150105
10432138,20150105
30067061,20150105,20151217
12810032,20150105
33242824,20150105,20151207
14248579,20150105
31419743,20150105,20151217
29926611,20150105
10638607,20150105
27077757,20150105,20151110
24235483,20150105
27758754,20150105
29226857,20150105,20151214
29843295,20150105,20151111
32082467,20150105
30549775,20150105
27109896,20150105,20151213
35032851,20150105,20151201
28992289,20150105,20151216
28843372,20150105
29309744,20150105,20151217
31595584,20150105
32563538,20150105
29619743,20150105
32769985,20150105
32449352,20150105
23473917,20150105,20151217
32786049,20150105
17008307,20150105
17517872,20150105,20151215
32302890,20150105
15390204,20150105
10073413,20150105
26056586,20150105
21558338,20150105
34576173,20150105
35402799,20150105
35475982,20150105,20151111
35817107,20150105
35817093,20150105
25794400,20150105
28149484,20150105
29142238,20150105,20151214
31363799,20150105,20151217
25729056,20150105,20150408
21518883,20150105
25377559,20150105,20151211
28128894,20150105
13227500,20150105
31419735,20150105,20151217
21532584,20150105
26303095,20150105
35532595,20150105,20151002
25313925,20150105
27674798,20150105,20151127
25603087,20150105,20151214
28112211,20150105,20151120
41171111,20150105
28501234,20150105
27526276,20150105,20151218
29837236,20150105
29923345,20150105
29825475,20150105,20151215
30834097,20150105
16630977,20150105,20151201
31267714,20150105,20151130
31486319,20150105,20151217
31416116,20150105
31492750,20150105,20151222
31482755,20150105,20151216
10300088,20150105,20151221
16073237,20150105,20151111
19758001,20150105
26728347,20150105
32302939,20150105
32330649,20150105,20151214
33585462,20150105
21688479,20150105
33786794,20150105
27045049,20150105
27242820,20150105
34721882,20150105
35390685,20150105
35417109,20150105,20151204
13621594,20150105,20151218
13077886,20150105
26024412,20150105
27092578,20150105,20150325
27168132,20150105,20151217
34471223,20150105
35479384,20150105,20151203
14892796,20150105,20151130
30835166,20150105
81749612,20150105
31272041,20150105,20151117
31272416,20150105,20151117
30564200,20150105
27638678,20150105,20151217
31607434,20150105
51460510,20150105,20151214
49778813,20150105,20151203
26274079,20150105
27518680,20150105
29225923,20150105,20151202
24257878,20150105,20151130
31492742,20150105
32141528,20150105,20151216
57930217,20150105
15251646,20150105
18999293,20150105
19318206,20150105
26234212,20150105
20944587,20150105
21009288,20150105
21247243,20150105
26796407,20150105
26774071,20150105
32329241,20150105
21615447,20150105,20150901
33957734,20150105,20151217
33883773,20150105,20151216
27195555,20150105
27162835,20150105
34721874,20150105
35241035,20150105,20151201
25141016,20150105
35482598,20150105
35483403,20150105
35812695,20150105,20151210
25317815,20150105
25329198,20150105,20151221
27511775,20150105
25625781,20150105
28483686,20150105
28858191,20150105
77556311,20150105,20151215
29008639,20150105
29217564,20150105
29216398,20150105
29216339,20150105
29216371,20150105
71168514,20150105
29921563,20150105,20151215
66042413,20150105,20151215
30247744,20150105
30353331,20150105
13887233,20150105
30573676,20150105,20151028
30724038,20150105
30908988,20150105
73664128,20150105,20151215
31060958,20150105
31329825,20150105,20151217
31486181,20150105,20151217
31487838,20150105
31595592,20150105
31615992,20150105
15282797,20150105
33150946,20150105
21416991,20150105
26940508,20150105
71143619,20150105
35395679,20150105
32827853,20150105
25372387,20150105
40839518,20150105,20151216
13887438,20150105
30616049,20150105,20151221
31363683,20150105
31369207,20150105
31418755,20150105
32075975,20150105
31892678,20150105,20151028
34594910,20150105,20151213
32564151,20150105
34903867,20150105
19472507,20150105
19192997,20150105
26367433,20150105,20151216
24206165,20150105
35378901,20150105,20150619
27658989,20150105
28114591,20150105,20151209
31423961,20150105
21387398,20150105
31944449,20150105,20151228
31892627,20150105,20151028
27403697,20150105,20151218
30500423,20150105,20151204
30551427,20150105
26531950,20150105
34708851,20150105
27259189,20150105,20151215
35400869,20150105
26647495,20150105,20151218
29522421,20150105
29796599,20150105
40342818,20150105,20151209
41595310,20150105
31054117,20150105
32145787,20150105,20151202
32262430,20150105
32665098,20150105
10066859,20150105
73626811,20150105
29203377,20150105
11979645,20150105
29781273,20150105
31423953,20150105
15370904,20150105,20151228
35402470,20150105
35864334,20150105
29927502,20150105
29926581,20150105
30514580,20150105,20151228
31771455,20150105
31765463,20150105
26015995,20150105
33576668,20150105,20151021
33579756,20150105,20151221
24218953,20150105,20151126
35255028,20150105
35378960,20150105,20151228
25974905,20150105,20151216
21254673,20150105
35053581,20150105
28484038,20150105,20151215
61673717,20150105,20151220
30738160,20150105
30812867,20150105
32437974,20150105
26629225,20150105
56466215,20150105
19173607,20150105
21427632,20150105
27592201,20150105
28503695,20150105,20151217
14124896,20150105
30496736,20150105
16898996,20150105
29196060,20150105
10027535,20150105
29445877,20150105
29513929,20150105
29692653,20150105
30922077,20150105,20151214
30560981,20150105
24207714,20150105
24064816,20150105
31578914,20150105
31615984,20150105
31499755,20150105
31780446,20150105,20151214
12557582,20150105,20151215
12853149,20150105,20151221
14648887,20150105
18843285,20150105
25999010,20150105,20151221
19546586,20150105
21391247,20150105
21616133,20150105
33880537,20150105,20151216
27159974,20150105
27189911,20150105
34471231,20150105
35041230,20150105,20151222
35140255,20150105,20151026
35513264,20150105,20151218
35516271,20150105,20151130
24204391,20150105
28682956,20150105
29135258,20150105,20151215
31369223,20150105
31331773,20150105
20200472,20150105,20151214
21786748,20150105
29222029,20150105,20151202
32087728,20150105,20151124
10820790,20150105
19406695,20150105
32328857,20150105
24240630,20150105
34627681,20150105,20151214
27696945,20150105
28863977,20150105,20151218
29241910,20150105,20151211
29243832,20150105
46878019,20150105
35117318,20150105
31423295,20150105
24120511,20150105
13111030,20150105,20151211
26711320,20150105
21635979,20150105
27366074,20150105
35398171,20150105
27963420,20150105
28849877,20150105,20151218
29402221,20150105
31286336,20150105
31502195,20150105,20151215
32942741,20150105
28098421,20150105
28848870,20150105
25099729,20150105
26486645,20150105,20151207
20155884,20150105
32302904,20150105
26924588,20150105
84941328,20150105
35647198,20150105,20151217
28711077,20150105
29415161,20150105
29409293,20150105
29786046,20150105,20151203
16194085,20150105,20151111
33352794,20150105
35046410,20150105
34712603,20150105,20150706,20151009
25450663,20150105
29785937,20150105,20151203
32827306,20150105,20151216
34472556,20150105
35237003,20150105
35403426,20150105,20151211
35233814,20150105,20150619
32334776,20150105,20151201
11156142,20150105,20151216
31485193,20150105,20151216
31485142,20150105,20151216
10468590,20150105
19533697,20150105
19499340,20150105
33082932,20150105,20151008
10151112,20150105
31329728,20150105
31750326,20150105
32476929,20150105,20151221
29694923,20150105
19988430,20150105
26711045,20150105
21178896,20150105,20151203
35209557,20150105
35209670,20150105
35238344,20150105,20151204
35049584,20150105
29309779,20150105,20151217
29837244,20150105
31416175,20150105
30532090,20150105
30532074,20150105
27231802,20150105,20151218
10223636,20150105
17690639,20150105
27923992,20150105,20151211
