cvr,dates 
16222437,20140101,20141223
78407514,20140101,20141214
71440915,20140101
34090254,20140101
73275016,20140101
29403694,20140101
34093741,20140101
31165865,20140101
31943442,20140101
31369827,20140101,20140102,20140816
31945216,20140101
16312231,20140101,20141223
34599807,20140101,20141210
25778901,20140101
30343913,20140101
75177313,20140101,20141223
25512294,20140101
29824266,20140101
31364604,20140101
31367549,20140101
79357715,20140101
27356931,20140101,20140604
31365074,20140101
32475647,20140101
25512448,20140101
31364744,20140101
31943604,20140101
14805834,20140101
27366554,20140101
31475759,20140101,20140622
34093776,20140101
31364922,20140101
20612908,20140101
33356609,20140101,20141207
34093784,20140101
27368654,20140101
31943515,20140101
25944690,20140101,20140612
34717362,20140101
33082932,20140102
27206123,20140102,20141218
27509843,20140102,20141212
28311435,20140102
29615578,20140102,20141218
31187923,20140102
11584896,20140102,20140704
32102123,20140102
33956045,20140102,20141223
24233685,20140102
65036614,20140102
10493242,20140102
15839104,20140102
27173721,20140102,20141211
27292240,20140102
70902613,20140102
13964637,20140102,20141201
27957056,20140102,20140606
28290861,20140102
29514445,20140102,20141124
34886180,20140102,20141215
15168307,20140102,20141128
26926920,20140102,20141114
24233677,20140102
25278860,20140102
28290896,20140102
28480032,20140102,20141203
45467112,20140102,20141222
31175372,20140102
19768546,20140102
27652379,20140102
71049418,20140102
27674992,20140102
15168145,20140102,20141128
33075294,20140102
28846126,20140102,20141220
28847041,20140102,20141219
29622434,20140102,20141219
15770236,20140102
20345799,20140102
27505155,20140102,20141123
28290888,20140102
32087906,20140102
17198238,20140102,20141121
31272041,20140102
13077886,20140102
18478889,20140102
26743974,20140102
28304463,20140102
33055307,20140102,20140217
17848607,20140102,20141223
29623600,20140102,20141219
27187501,20140102
34585288,20140102
28135238,20140102
30544161,20140102,20141222
21118346,20140102
31579945,20140102
26769906,20140102,20141104
28299087,20140102
28682956,20140102
34587949,20140102
25360273,20140102,20141124
27771025,20140102
27778879,20140102,20141218
10051169,20140102,20141202
10451477,20140102,20141222
30605144,20140102,20140620
46273117,20140102
27553303,20140102,20141103
25313925,20140102
27957404,20140102
28108974,20140102
29621055,20140102
29622353,20140102,20141219
31156343,20140102
30561848,20140102
31172497,20140102
32145183,20140102,20141202
32468721,20140102
32675492,20140102
31761670,20140102,20140529
27762204,20140102
28696469,20140102,20141203
29416389,20140102
33953291,20140102,20141222
17263838,20140102
28584717,20140102,20141211
20247894,20140102,20141110
53650619,20140102
15184892,20140102
34883203,20140102,20141215
29134421,20140102
82983228,20140102,20141223
12516592,20140102
34464812,20140102,20141215
34205434,20140102,20141028
27377408,20140102,20140604
27377521,20140102,20140604
28143796,20140102
29424993,20140102
31492750,20140102
32473016,20140102
57344717,20140102,20140529
16114294,20140102,20141211
27046894,20140102
28845952,20140102,20141220
28705182,20140102,20141223
29621020,20140102
18911434,20140102,20141216
19684180,20140102
32780075,20140102,20141215
19999734,20140102,20141223
33070950,20140102
26892457,20140102
27449042,20140102
25273095,20140102,20141211
27779069,20140102,20141218
28505663,20140102,20140626
28668686,20140102,20140525
31867762,20140102
32077919,20140102
13912289,20140103,20141121
18454408,20140103
26194172,20140103,20141201
27024181,20140103,20141228
21659142,20140103
34220743,20140103
81466017,20140103,20141217
35140085,20140103
69011314,20140103
27679870,20140103,20141211
29618399,20140103,20141208
29634238,20140103,20141218
37131415,20140103,20141212
15526041,20140103,20141219
31373255,20140103
32076076,20140103
32453082,20140103,20141212
32946747,20140103
12607598,20140103
41385812,20140103
26682924,20140103,20141117
33263570,20140103
33263597,20140103
33867298,20140103
34220778,20140103
25100174,20140103,20141212
27578209,20140103
27728405,20140103
29171505,20140103
29623090,20140103
16312142,20140103
31175186,20140103
32152554,20140103
77726918,20140103
12531370,20140103
10638607,20140103
10611199,20140103,20141030
15505389,20140103
16585998,20140103
25986407,20140103,20141218
20003596,20140103,20141223
20974249,20140103
21251372,20140103
33267460,20140103
33261101,20140103
27093485,20140103
27264948,20140103
34802343,20140103,20141130
26993229,20140103
25819330,20140103
21232696,20140103,20141215
10031915,20140103
29415730,20140103,20141221
30613791,20140103
27111939,20140103
18540576,20140103,20141218
19061175,20140103,20141201
31598931,20140103
25525744,20140103
31873134,20140103
32073190,20140103
32761623,20140103
54095317,20140103
29636478,20140103
15200081,20140103,20141223
31474884,20140103
31626218,20140103
31598923,20140103
