entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DateOfOtherReport,DescriptionOfAuditor,DisclosureOfEquity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfCompilationOfOtherReport,PlaceOfSignatureOfStatement,ReportingPeriodEndDate,ReportingPeriodStartDate,ShorttermDebtToBanks,ShorttermPayablesToGroupEnterprises,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,ChangeInInventoriesOfFinishedGoodsWorkInProgressAndGoodsForResale,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherExternalExpenses,OtherFinanceIncome,OtherOperatingExpenses,OtherOperatingIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RawMaterialsAndConsumablesUsed,Revenue,TaxExpense,Assets,BiologicalAssets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgress,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,RevaluationReserve,ShorttermInvestments,ShorttermInvestmentsInGroupEnterprises,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradeReceivables
26778425,2011-01-01,2011-12-31,duration_ProposedDividendRecognisedInEquityMember_previous,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2011-01-01,2011-12-31,duration_ReserveForNetRevaluationAccordingToEquityMethodMember_previous,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2011-01-01,2011-12-31,duration_RestOfOtherReservesMember_previous,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2011-01-01,2011-12-31,duration_RetainedEarningsMember_previous,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,-212005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2011-01-01,2011-12-31,duration_only_previous,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,-212005.0,0.0,0.0,0.0,-4334.0,0.0,-4334.0,2528.0,0.0,0.0,-282670.0,-4334.0,0.0,0.0,70665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2011-12-31,2011-12-31,instant_only_previous,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,457937.0,0.0,21.0,0.0,125000.0,457937.0,70665.0,329192.0,0.0,0.0,0.0,457937.0,128745.0,0.0,0.0,0.0,0.0,0.0,0.0,128745.0,0.0,0.0,0.0,0.0,0.0,0.0,204192.0,0.0,386872.0,386872.0,128745.0,71044.0,379.0
26778425,2012-01-01,2012-12-31,duration_IdentificationOfAuditor,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2012-01-01,2012-12-31,duration_ProposedDividendRecognisedInEquityMember,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,36000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2012-01-01,2012-12-31,duration_ReserveForNetRevaluationAccordingToEquityMethodMember,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26778425,2012-01-01,2012-12-31,duration_RestOfOtherReservesMember,,http://regnskaber.virk.dk/52487762/Y3ZyLmRrOi8veGJybHMvWC0zQjFGRDQ2Ni0yMDEzMDUyMV8xMzI2MjJfOTU1.xml,7400 Herning,Birk Centerpark 24,1780 KÃ¸benhavn V,Kalvebod Brygge 1-3,8660 Skanderborg,Vistoftevej       10,7400 Herning,Birk Centerpark 24,Regnskabsklasse B,2013-04-10,2013-04-10,2013-04-10,Registreret Revisor,<note>35</note><tr> <td>Egenkapital</td> </tr><tr><td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td></tr><tr><td>Primo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>204.192</td> <td>0</td> <td>329.192</td></tr><tr><td>Forslag til resultatdisponering </td> <td></td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>43.853</td> <td>36.000</td><td>79.853</td></tr><tr><td>Udbetalt udbytte</td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td></td> <td>0</td></tr><tr><td>Ultimo</td> <td>125.000</td> <td>0</td> <td>0</td> <td>0</td> <td>0</td> <td>248.045</td> <td>36.000</td><td>409.045</td></tr><tr> </tr>,21728446.0,26778425.0,21728446.0,Ãrsrapport,Solvejg Poulsen,Dirigent: Niels Damsgaard Hansen,Heden & Fjorden I/S,Nykredit Bank A/S,ndhtxtfoto ApS,Heden & Fjorden I/S,-280864.0,"Birk, den 10. april 2013","Skanderborg, den 10. april 2013",2012-12-31,2012-01-01,470.0,133893.0,2013-04-10,86579058.0,urn:ofk:oid:13811753,indberetninger-20180424,2.3545957000000004,26778425.0,,2018-04-01T18:00:09.639Z,2013-05-21T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-59.239,2013-05-21T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
