entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExchangeRateAdjustmentsOtherFinanceExpenses,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpense,WagesAndSalaries,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherProvisions,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,Provisions,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfLeases,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCashAndCashEquivalents,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfReceivables,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfReceivables,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,ReversalsOfImpairmentLossesOfPropertyPlantAndEquipmentFromPreviousPeriods,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,IncreaseOfCapital,NameAndSurnameOfMemberOfExecutiveBoard,DescriptionOfClassOfIssuedShares,NumberOfIssuedShares
25673697,2015-10-01,2016-09-30,c195,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,1558984.0,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2015-10-01,2016-09-30,c4,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,1558984.0,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,21.0,220811.0,10127255.0,73231.0,12521432.0,182343.0,334903.0,631370.0,16988.0,375796.0,687134.0,1558984.0,2173366.0,149767.0,0.0,8955451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-09-30,2016-09-30,c1294,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-09-30,2016-09-30,c5,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,15869354.0,41876.0,1056000.0,15613907.0,271783.0,4255120.0,0.0,10136699.0,57973.0,15869354.0,11386234.0,4128191.0,255447.0,228000.0,1520771.0,325618.0,197474.0,255447.0,228000.0,6008508.0,3199120.0,5294176.0,11386234.0,2965857.0,5435332.0,1605430.0,4837931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-10-01,2016-10-01,c231,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395354.0,1592828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-10-01,2016-10-01,c235,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120246.0,120246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-10-01,2016-10-01,c242,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398977.0,456950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-10-01,2016-10-01,c312,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,1056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-10-01,2016-10-01,c351,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,3199120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673697,2016-10-01,2016-10-01,c393,,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzkwLzEzLzY3L2Y2ZTUtNDI5Ny1hYWE5LTZhNjE4MGU1NWU2Yg.pdf,http://regnskaber.virk.dk/79637652/ZG9rdW1lbnRsYWdlcjovLzAzLzcyLzZjL2ZiL2Y0LzQyZmYtNDg0OS05Y2Y3LTQ0ZWUyMTY1MDczNw.xml,true,5100.0,25.0,9.0,2017-12-13,2017-12-13,2000-10-15,2017-12-13,70221293.0,30700228.0,25673697.0,30700228.0,2015-10-01,2016-09-30,,2017-09-30,2016-10-01,true,2017-12-13,70221292.0,Revisionsp̴tegning,urn:ofk:oid:24851976,indberetninger-20180424,2.5118406,25673697,,2018-03-28T04:20:55.175Z,2017-12-18T08:53:58.293Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BL-16-CD,2017-12-18T08:53:58.491Z,,,,,,,,,,,,,,,,,,,,,,,1056000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
