entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,EmployeeBenefitsExpense,ExternalExpenses,FinanceExpensesArisingFromGroupEnterprises,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Provisions,ProvisionsForDeferredTax,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables
34075336,2016-06-01,2017-05-31,c3,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,55000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",69052.0,37563.0,0.0,-37563.0,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,338463.0,0.0,KÃ¸benhavn,2016-06-01,2017-05-31,-25384.0,-32205.0,-161615.0,3234.0,3234.0,2018-05-31,2017-06-01,209053.0,true,false,-6821.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,,,,,,,,,,,,,,,,,,
34075336,2016-06-01,2017-05-31,c7,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,-25384.0,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,,,,,,,,,,,,,,,,,,
34075336,2017-05-31,2017-05-31,c9,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,2382013.0,129319.0,80000.0,2059567.0,44264.0,2046630.0,263542.0,2382013.0,332149.0,58904.0,0.0,322446.0,58904.0,1854896.0,335283.0,263542.0,0.0,1966630.0,1854896.0,335283.0,0.0,75352.0,30988.0
34075336,2017-06-01,2017-06-01,c10,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,80000.0,,,,,,,,,,,,,,,,,
34075336,2017-06-01,2017-06-01,c11,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,1966630.0,,,,,,,,,,,,,,,,,
34075336,2017-06-01,2017-06-01,c12,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,2046630.0,,,,,,,,,,,,,,,,,
34075336,2017-06-01,2018-05-31,c0,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,88542.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",64248.0,23831.0,7524.0,-23831.0,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,282756.0,15157.0,KÃ¸benhavn,2016-06-01,2017-05-31,-77403.0,-79581.0,-176621.0,3234.0,3234.0,2018-05-31,2017-06-01,193349.0,true,false,-2178.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,,,,,,,,,,,,,,,,,,
34075336,2017-06-01,2018-05-31,c1,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,,,,,,,,,,,,,,,,,,
34075336,2017-06-01,2018-05-31,c13,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,15157.0,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,,,,,,,,,,,,,,,,,,
34075336,2017-06-01,2018-05-31,c14,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2IyLzE3LzFlL2ZlNWUtNDgxYy05ZjM1LTFlYzU4YWY1NjJhNQ.xhtml,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzc1L2U0L2IxLzQ2M2ItNDA0Yi1iZmYyLTgxZmUzNjE0YjNkNw.pdf,http://regnskaber.virk.dk/63357043/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2M4L2E3L2Y1LzExNTUtNDdmYS04YTM4LTgxMTIwODFlYTA4NA.xml,true,Danmark,DK,KÃ¸benhavn S,2300.0,25.0,Amagerbrogade,KÃ¸benhavn S,2300.0,6.0,Weidekampsgade,2840.0,Bakkefaldet 34,Regnskabsklasse B,2018-10-01,2018-10-12,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r i investering, primÃ¦rt i bÃ¸rsnoterede vÃ¦rdipapirer.</p>",,,,,34075336.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Steen Christensen,Marianne Hjerresen Nielsen,Ãr,BankNordik,STC 114 ApS,Steen Christensen,,,KÃ¸benhavn,2016-06-01,2017-05-31,-197560.0,,,3234.0,3234.0,2018-05-31,2017-06-01,,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26203507,indberetninger-20180424,2.5953956,34075336,AWZtPW8C5OzuYdPkFN7m,2018-10-13T11:44:52.289Z,2018-10-13T11:43:51.570Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-BS-99-VT,2018-10-13T11:43:52.110Z,,,,,,,,,,,,,,,,,,,,,,,
