entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,DisclosureOfRevenue,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises
12299974,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,95900.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",-65432.0,12299974.0,45087.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,250.0,1090739.0,2016-07-01,2017-06-30,974244.0,974244.0,-161332.0,2018-06-30,2017-07-01,false,false,0.0,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,100000.0,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2016-07-01,2017-06-30,c5,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,0.0,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2016-07-01,2017-06-30,c7,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,874244.0,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2017-06-30,2017-06-30,c9,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,6000587.0,1193800.0,200000.0,1716453.0,5989532.0,6000587.0,11055.0,4284134.0,550000.0,4284134.0,3734134.0,0.0,22653.0,5789532.0,11055.0,11055.0,522653.0,500000.0
12299974,2017-07-01,2018-06-30,c0,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",-84815.0,12299974.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,238559.0,62845.0,2016-07-01,2017-06-30,-333217.0,-260529.0,-84815.0,2018-06-30,2017-07-01,false,false,72688.0,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2017-07-01,2018-06-30,c2,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,100000.0,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2017-07-01,2018-06-30,c4,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,0.0,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2017-07-01,2018-06-30,c6,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,-433217.0,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,,,,,,,,,,,,,,,,,,
12299974,2018-06-30,2018-06-30,c8,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2RlLzliLzIzLzFiLzI0ZDktNDY4Ni05ZjM5LTZjZWY1OGE4MjhhZg.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzdlLzZkL2QyLzNmZjYtNGRlZS04MTE0LTg3Y2RmYzY3ZjkyYQ.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzVjLzExLzEwL2YyMzYtNDhmNS1hMzk5LTdmYTdiMTI0MmY4Mw.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2600.0,"Ãstervej 9C, stth.",Regnskabsklasse B,2018-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:26332621,indberetninger-20180424,2.5949414,12299974.0,AWc67fTp5OzuYdPkGb8B,2018-11-22T10:19:44.554Z,2018-11-22T10:18:48.935Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AU-30-CU,2018-11-22T10:18:49.150Z,5589826.0,1450301.0,200000.0,1964127.0,5556315.0,5589826.0,33511.0,3625699.0,550000.0,3625699.0,3075699.0,16000.0,13826.0,5356315.0,33511.0,17511.0,513826.0,500000.0
