Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,1273364.0,5683826.0,90065395.0,0.0,32306259.0,0.0
13,2012-01-01,94700.0,7561141.0,92149374.0,0.0,33835929.0,0.0
14,2013-01-01,400000.0,5643067.57,95298638.0,0.0,35256321.18,9600  Aars
15,2014-01-01,200000.0,4617883.41,97556381.0,0.0,35631228.59,9600  Aars
16,2015-01-01,200000.0,6154157.09,98149211.0,0.0,35920230.86,9600  Aars
17,2016-01-01,2216920.01,15483810.01,98149211.0,0.0,35920230.86,9600  Aars
18,2017-01-01,600000.0,20631417.0,97805410.0,15.7,36996331.0,9600  Aars
19,2018-01-01,600000.0,18575143.0,95933163.0,15.7,37370063.0,9600 Aars
