Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,-760936.0,677094.0,0.0,5.0,0.0,0.0
13,2012-01-01,884401.0,1881656.0,14575047.0,5.0,500000.0,0.0
15,2014-01-01,99800.0,2600716.0,13195313.0,5.0,500000.0,7860.0
16,2015-01-01,5000000.0,1302923.0,15276406.0,6.0,500000.0,7860.0
17,2016-01-01,2500000.0,2977452.0,13982634.0,6.0,500000.0,7860.0
18,2017-01-01,5000000.0,5000483.0,12744387.0,6.0,500000.0,7860.0
19,2018-01-01,0.0,2339505.0,12473355.0,6.0,500000.0,7860.0
