Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,470000.0,1050000.0,0.0,0.0,125000.0,0.0
13,2012-01-01,-73031.0,465779.0,1513000.0,0.0,771572.0,0.0
14,2013-01-01,-463838.0,-11012.0,1237000.0,1.0,698541.0,4350.0
15,2014-01-01,-264729.0,104433.0,705000.0,1.0,125000.0,4350.0
16,2015-01-01,175980.0,-38748.0,435000.0,0.0,125000.0,2800.0
17,2016-01-01,-94262.0,43816.0,559000.0,0.0,125000.0,2800.0
19,2018-01-01,128373.0,-48659.0,301000.0,0.0,125000.0,2800.0
