Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
15,2013-01-01,1039553.0,81742.0,5434598.0,0.0,4280080.0,8410.0
15,2014-01-01,1133142.0,257859.0,6645628.0,0.0,5413222.0,8410.0
16,2015-01-01,1732771.0,48189.0,8442136.0,0.0,7065993.0,8410.0
17,2016-01-01,-225499.0,110533.0,8789245.0,0.0,6739294.0,8410.0
18,2017-01-01,777194.0,78152.0,9099961.0,0.0,7413088.0,8410.0
19,2018-01-01,-2029929.0,-3432.0,7581055.0,0.0,5383158.0,8410.0
