Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,-164864459.0,-797779.0,0.0,2.0,0.0,0.0
13,2012-01-01,9593000.0,-781253.0,73230170.0,2.0,500000.0,0.0
14,2013-01-01,60681543.0,-680622.0,94000171.0,2.0,500000.0,2100.0
16,2015-01-01,9112844.0,-526283.0,355571979.0,0.0,500000.0,2100.0
17,2016-01-01,-7616781.0,-856540.0,78072055.0,0.0,500000.0,2100.0
18,2017-01-01,-316989.0,-273208.0,66080644.0,1.0,500000.0,2100.0
19,2018-01-01,-8419261.0,-227895.0,60617051.0,1.0,500000.0,2100.0
