Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
15,2014-05-28,969913.0,-8795.0,1028710.0,0.0,50000.0,2100.0
15,2014-05-28,969913.0,-8795.0,1028710.0,0.0,50000.0,2100.0
16,2015-01-01,1088161.0,-5100.0,1028710.0,0.0,50000.0,2100.0
17,2016-01-01,-1856041.0,-5688.0,2449034.0,0.0,50000.0,2100.0
18,2017-01-01,1762079.0,-6875.0,739147.0,0.0,50000.0,2400.0
19,2018-01-01,561898.0,-7063.0,1362117.0,0.0,736083.0,2100.0
