Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-05-01,50000.0,47087.0,0.0,0.0,200000.0,0.0
13,2012-05-01,169594.0,23480.0,3997128.0,0.0,200000.0,0.0
14,2013-05-01,122952.0,8100.0,4150146.0,0.0,200000.0,9500.0
15,2014-05-01,105940.0,6843.0,4547594.0,0.0,200000.0,9500.0
16,2015-05-01,95415.0,-150.0,4691592.0,0.0,200000.0,9500.0
17,2016-05-01,124615.0,-15.0,4983370.0,0.0,4439769.0,9500.0
18,2017-05-01,126687.0,-200.0,5136983.0,0.0,4566456.0,9500.0
19,2018-05-01,238496.0,-100.0,5361417.0,0.0,4804952.0,9500.0
