Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2010-10-01,-572749.0,-57744.0,3219044.0,0.0,3181432.0,0.0
13,2011-10-01,-1847449.0,-1871386.0,3111739.0,0.0,1237383.0,0.0
14,2012-10-01,-108818.0,-8265.0,1046357.0,0.0,1031965.0,3050.0
15,2013-10-01,18874.0,-3697.0,961286.0,0.0,952439.0,3050.0
16,2014-10-01,8505832.0,-26679.0,14612096.0,0.0,9458271.0,3050.0
17,2015-10-01,485090.0,-32616.0,14168654.0,0.0,9943361.0,2960.0
18,2016-10-01,144225.0,-34660.0,23566112.0,1.0,9587586.0,2960.0
19,2017-10-01,1312.0,-19648.0,13149394.0,1.0,9588899.0,2960.0
