Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
12,2010-06-30,206110.0,6001.0,94201.0,0.0,126110.0,0.0
12,2011-07-01,179901.0,1250.0,221029.0,0.0,13452.0,0.0
13,2012-07-01,-152812.0,6250.0,493826.0,0.0,140878.0,0.0
14,2013-07-01,271250.0,-271250.0,222576.0,0.0,-412128.0,0.0
15,2014-07-01,-354853.0,-6500.0,322824.0,0.0,-418628.0,0.0
16,2015-07-01,0.0,-6875.0,262042.0,0.0,-355586.0,4140.0
17,2016-07-01,0.0,-6875.0,262000.0,0.0,80000.0,4140.0
19,2017-07-01,17937.0,-9161.0,692205.0,0.0,-344459.0,0.0
