Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
12,2010-07-01,263000.0,1191000.0,711000.0,0.0,323000.0,0.0
12,2011-07-01,-239357.0,267119.0,153833.0,0.0,83629.0,0.0
13,2012-07-01,-11251.0,-210692.0,118128.0,0.0,-94880.0,0.0
14,2013-07-01,30828.0,510997.0,1043861.0,0.0,125708.0,4532.0
15,2014-07-01,-174995.0,-80330.0,1978.0,0.0,-49287.0,4532.0
16,2015-07-01,87436.0,90875.0,64509.0,0.0,38150.0,4532.0
17,2016-07-01,56873.0,130264.0,144800.0,0.0,95023.0,4532.0
18,2017-07-01,-55937.0,-66731.0,51213.0,0.0,39086.0,4532.0
