Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2010-10-01,637.0,1965893.0,2231804.0,0.0,271745.0,0.0
13,2011-10-01,298222.0,2507283.0,1999976.0,0.0,594522.0,0.0
14,2012-10-01,378630.0,2239018.0,1961003.0,0.0,779952.0,0.0
15,2013-10-01,493021.0,1776520.0,1797942.0,0.0,922974.0,4800.0
16,2014-10-01,762346.0,2284766.0,2255267.0,0.0,1225319.0,4800.0
17,2015-10-01,545876.0,1873881.0,0.0,2.0,150000.0,4800.0
18,2017-10-01,546382.0,1900839.0,1943579.0,2.0,1127563.0,0.0
