Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,35000.0,2366000.0,0.0,0.0,125000.0,0.0
13,2012-01-01,51815.0,3402407.0,2299000.0,0.0,125000.0,0.0
14,2013-01-01,234748.0,5629732.0,2243000.0,0.0,1266736.0,2200.0
15,2014-01-01,95273.0,6714572.0,4017000.0,0.0,1476485.0,2200.0
16,2015-01-01,32836.0,6896455.0,3495162.0,0.0,125000.0,2400.0
17,2016-01-01,247838.0,12322900.0,3666381.0,15.0,125000.0,2400.0
18,2017-01-01,206172.0,12939298.0,5838675.0,23.0,125000.0,2400.0
19,2018-01-01,234095.0,12030099.0,4449483.0,21.0,555556.0,2400.0
