Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,-232352.0,-5035.0,0.0,0.0,0.0,0.0
13,2012-01-01,35624.0,-6250.0,0.0,0.0,0.0,0.0
14,2013-01-01,4219.0,-6250.0,0.0,0.0,193521.0,0.0
15,2014-01-01,84166.0,-6440.0,258016.0,0.0,252688.0,0.0
18,2017-01-01,-3312.0,-5880.0,140774.0,0.0,135274.0,0.0
19,2018-01-01,10233.0,-916.0,151007.0,0.0,135507.0,0.0
