Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,0.0,25317075.0,6468272.0,52.0,0.0,0.0
13,2012-01-01,26591.0,27745119.0,0.0,57.0,500000.0,0.0
14,2013-01-01,436528.0,23587808.0,0.0,46.0,500000.0,2900.0
15,2014-01-01,-104488.0,7880567.0,0.0,17.0,500000.0,2900.0
16,2015-01-01,13905.0,5359812.0,0.0,9.0,500000.0,2900.0
17,2016-01-01,-70534.0,5977655.0,0.0,9.0,500000.0,2300.0
18,2017-01-01,-214900.0,5983975.0,0.0,9.0,500000.0,2300.0
19,2018-01-01,16602.0,10078702.0,7491819.0,22.0,565187.0,1360.0
