Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-09-15,0.0,-80921.0,8817987.0,0.0,350050.0,2600 Glostrup
13,2012-07-01,0.0,106778.0,11380556.0,0.0,428325.0,2600 Glostrup
14,2013-01-01,0.0,234913.0,12040191.0,0.0,1062387.0,2600 Glostrup
15,2014-01-01,0.0,546904.0,14173684.0,0.0,3178869.0,2600 Glostrup
16,2015-01-01,0.0,620258.0,16183538.0,0.0,4934170.0,2600 Glostrup
17,2016-01-01,1799939.0,727291.0,24402553.0,0.0,10693455.0,2600 Glostrup
18,2017-01-01,222248.0,598029.0,0.0,0.0,200000.0,2500 Valby
19,2018-01-01,92251.0,439070.0,0.0,0.0,200000.0,2150 Nordhavn
