Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,2000.0,0.0,0.0,0.0,125000.0,0.0
13,2012-01-01,2911.0,-340.0,68000.0,0.0,125000.0,0.0
14,2013-01-01,2681.0,0.0,72000.0,0.0,125000.0,0.0
15,2014-01-01,2868.0,0.0,0.0,0.0,125000.0,2100.0
16,2015-01-01,613.0,0.0,0.0,0.0,125000.0,2100.0
17,2016-01-01,609.0,0.0,0.0,0.0,125000.0,2100.0
18,2017-01-01,612.0,0.0,0.0,0.0,125000.0,2100.0
19,2018-01-01,617.0,0.0,0.0,0.0,125000.0,2100.0
