Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-05-01,4708000.0,0.0,106700000.0,68.0,0.0,0.0
13,2012-05-01,3263000.0,97670000.0,0.0,65.0,500000.0,0.0
14,2013-05-01,1889000.0,96635000.0,0.0,85.0,500000.0,2300.0
15,2014-05-01,6704000.0,142228000.0,126439000.0,99.0,56467000.0,2300.0
16,2015-05-01,-183000.0,138785000.0,139562000.0,114.0,56284000.0,2300.0
17,2016-05-01,10522000.0,209483000.0,259534000.0,148.0,117713000.0,2300.0
18,2017-05-01,13783000.0,223018000.0,277796000.0,176.0,131496000.0,2300.0
19,2018-05-01,17204000.0,214623000.0,267986000.0,189.0,128700000.0,2300.0
