Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-04-15,1797000.0,0.0,4315000.0,0.0,4310000.0,0.0
13,2012-01-01,1325883.0,0.0,5046052.0,0.0,5039203.0,0.0
14,2013-01-01,1261837.0,0.0,5864478.0,0.0,5855039.0,2960.0
15,2014-01-01,2421372.0,0.0,7735053.0,0.0,7598011.0,2960.0
16,2015-01-01,5169297.0,0.0,12342282.0,0.0,12067308.0,2960.0
17,2016-01-01,2790360.0,0.0,14035319.0,0.0,14027668.0,2960.0
18,2017-01-01,2434884.0,0.0,16254694.0,0.0,16134152.0,2960.0
19,2018-01-01,1539148.0,0.0,17326878.0,0.0,17317501.0,2960.0
