Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,0.0,241418.0,0.0,0.0,0.0,0.0
13,2012-01-01,0.0,159867.0,0.0,0.0,0.0,0.0
14,2013-01-01,18568.0,156931.0,175769.0,0.0,129830.0,3660.0
15,2014-01-01,-21733.0,87208.0,134840.0,0.0,108097.0,3660.0
16,2015-01-01,-3146.0,81244.0,155379.0,0.0,104952.0,3660.0
17,2016-01-01,30890.0,110954.0,180147.0,0.0,135841.0,3660.0
18,2017-01-01,-11644.0,88641.0,146317.0,1.0,124197.0,3660.0
19,2018-01-01,8048.0,72765.0,156437.0,1.0,132245.0,3660.0
