Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2010-10-01,100000.0,0.0,0.0,0.0,125000.0,0.0
13,2011-10-01,-414815.0,0.0,3015249.0,0.0,125000.0,0.0
14,2013-10-01,387326.0,-3165.0,2652303.0,0.0,2471458.0,7470.0
15,2014-10-01,811784.0,-1265.0,3041709.0,0.0,125000.0,7470.0
17,2015-10-01,722948.0,-3345.0,4688610.0,0.0,125000.0,7470.0
18,2016-10-01,864534.0,-1960.0,5081130.0,0.0,125000.0,7470.0
19,2017-10-01,178065.0,-1921.0,5878567.0,0.0,125000.0,7470.0
