Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
12,2010-07-01,1860870.0,2775012.0,75346302.0,0.0,24017622.0,0.0
12,2011-07-01,1135322.0,2678522.0,0.0,0.0,0.0,0.0
13,2012-07-01,2615736.0,2735172.0,0.0,0.0,125000.0,0.0
14,2013-07-01,432377.0,2393373.0,0.0,0.0,125000.0,7400.0
15,2014-07-01,6840498.0,3681273.0,0.0,0.0,125000.0,7400.0
16,2015-07-01,-3265408.0,3525382.0,0.0,0.0,126000.0,7400.0
17,2016-07-01,3396561.0,3951204.0,0.0,0.0,126000.0,7400.0
18,2017-07-01,3532788.0,3999421.0,0.0,0.0,126000.0,7400.0
19,2018-07-01,3088054.0,4046815.0,118979372.0,0.0,126000.0,7400.0
