Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
12,2010-05-01,-1268301.0,-471155.0,0.0,0.0,0.0,0.0
12,2011-05-01,-5806950.0,-2999038.0,0.0,0.0,0.0,0.0
13,2012-05-01,-5555756.0,-1226228.0,0.0,0.0,0.0,0.0
14,2013-05-01,-4656400.0,321686.0,0.0,0.0,-15149404.0,0.0
15,2014-05-01,-4486426.0,-585317.0,8031850.0,0.0,6771483.0,0.0
16,2015-05-01,-2436148.0,116629.0,5436367.0,0.0,4335335.0,0.0
17,2016-05-01,-2108996.0,359061.0,4721230.0,0.0,3750339.0,0.0
18,2017-05-01,-3177420.0,-391615.0,4558723.0,0.0,3322919.0,0.0
19,2018-05-01,-2371219.0,1406440.0,4032671.0,0.0,2726701.0,0.0
