Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2010-10-01,-75357.0,-49125.0,11992076.0,0.0,11562708.0,0.0
13,2011-10-01,282641.0,-44813.0,11855262.0,0.0,11748749.0,0.0
14,2012-10-01,98400.0,-47268.0,12152876.0,0.0,11981754.0,8920.0
15,2013-10-01,99800.0,-40112.0,12775866.0,0.0,12432838.0,8920.0
16,2014-10-01,150000.0,-43896.0,12768729.0,0.0,12473891.0,8920.0
17,2015-10-01,150000.0,-69592.0,12715179.0,0.0,12643635.0,8920.0
18,2016-10-01,574751.0,-70037.0,12725305.0,0.0,200000.0,8920.0
19,2017-10-01,149322.0,-35773.0,13292856.0,0.0,200000.0,8920.0
