Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-01-01,59209.0,-16510.0,0.0,0.0,0.0,0.0
13,2012-01-01,274174.0,-5625.0,1210970.0,0.0,1205970.0,0.0
15,2014-01-01,-761117.0,38450.0,1775624.0,0.0,125000.0,2500.0
16,2015-01-01,66832.0,-8136.0,1010753.0,0.0,125000.0,2500.0
17,2016-01-01,-204614.0,-8973.0,1132115.0,0.0,0.0,2500.0
18,2017-01-01,15825.0,-7723.0,859488.0,0.0,0.0,2500.0
19,2018-01-01,-61927.0,-6607.0,873774.0,0.0,0.0,2500.0
