Year,Start_date,ProfitLoss,GrossResult,Assets,AverageNumberOfEmployees,Equity,AddressOfReportingEntityPostCodeIdentifier
13,2011-07-01,731000.0,-12000.0,917000.0,0.0,0.0,0.0
13,2012-07-01,1254040.732,-8250.0,0.0,0.0,80000.0,0.0
14,2013-07-01,96600.0,-6990.0,1883410.0,0.0,1876960.0,3630.0
15,2014-07-01,81472.0,-6869.0,1883000.0,0.0,80000.0,3630.0
16,2015-07-01,297040.0,-6252.0,1964000.0,0.0,80000.0,3630.0
17,2016-07-01,-636536.0,-6840.0,2211000.0,0.0,80000.0,3630.0
18,2017-07-01,103590.0,-7833.0,1565000.0,0.0,80000.0,3630.0
19,2018-07-01,2651162.0,-8122.0,5194000.0,1.0,80000.0,3630.0
