entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfClassOfIssuedShares,Equity,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,Dividend,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,EmployeeBenefitsExpense,EquityRatio,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ResultsFromNetFinancials,ReturnOnCapitalEmployed,ReturnOnEquity,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherProvisions,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfExpectedDevelopment,DescriptionOfKnowledgeResources,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfInvestmentProperty,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfQualificationsOfAuditedFinancialStatements,DescriptionOfResearchAndDevelopmentActivitiesInAndForReportingEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,ExplanationOfEntitysDefinitionOfCashAndCashEquivalents,ExplanationOfNotDisclosingCashFlowsStatements,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RetrospectiveInformationOnContributedCapital,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfKeyFigureOrFinancialRatio,ValueOfKeyFigureOrFinancialRatio,NameAndSurnameOfMemberOfExecutiveBoard
32661912,2015-01-01,2015-01-01,c309,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,125000.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-01-01,c354,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,23080110.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-01-01,c360,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,0.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-12-31,c173,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,8309492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-12-31,c355,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,8309492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-12-31,c361,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-01-01,2015-12-31,c433,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,8309492.0,,10100.0,16.0,2578766.0,53949.0,53949.0,10827143.0,38.0,22524192.0,442351.0,585040.0,1147529.0,260098.0,335047.0,1589880.0,845138.0,1014399.0,10898358.0,11643100.0,-744742.0,14.0,30.4,115686.0,2588866.0,2588866.0,9362011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-12-31,2015-12-31,c1294,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2015-12-31,2015-12-31,c5,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,31514602.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83024817.0,941294.0,125000.0,81906033.0,19335.0,0.0,294084.0,44872195.0,83024817.0,51402215.0,824700.0,44872195.0,1118784.0,824700.0,108000.0,4208774.0,1847.0,294084.0,0.0,108000.0,31389602.0,12546810.0,51402215.0,16438148.0,36092544.0,14251251.0,1812766.0,16395717.0,21820111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-01-01,c235,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2I5LzAzLzMxLzY2NjgtNGI3MC1iMzQ0LTUwMDI4N2Q3Y2M1YQ.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2I2L2U0LzRiL2VkMWEtNDg0My05N2Y2LWI5MDJkMGIwNzNkOQ.xml,2000.0,4.0,4700.0,21.0,2017-05-29,2017-05-29,2017-06-12,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2015-01-01,2015-12-31,2016-12-31,2016-01-01,2017-05-29,55737333.0,Revisionsp̴tegning,urn:ofk:oid:24310781,indberetninger-20180424,2.5124211,32661912,,2018-03-29T19:16:05.720Z,2017-06-29T13:36:38.698Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-33-KC,2017-06-29T13:36:39.050Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110661.0,404745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
