entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfClassOfIssuedShares,Equity,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,Dividend,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,EmployeeBenefitsExpense,EquityRatio,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,InvestmentInPropertyPlantAndEquipment,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ResultsFromNetFinancials,ReturnOnCapitalEmployed,ReturnOnEquity,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfExpectedDevelopment,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfInvestmentsAsCurrentAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfStatingKeyFiguresAndFinancialRatiosIncludedInManagementReview,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,ExplanationOfNotDisclosingCashFlowsStatements,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RetrospectiveInformationOnContributedCapital,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,ValueAdjustmentsOfEquity,NameAndSurnameOfMemberOfSupervisoryBoard,DividendPaid,NameOfKeyFigureOrFinancialRatio,ValueOfKeyFigureOrFinancialRatio,NameAndSurnameOfMemberOfExecutiveBoard
32661912,2016-01-01,2016-01-01,c309,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,125000.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-01-01,c354,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,31389602.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-01-01,c360,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,0.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-12-31,c173,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,3750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,7016080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-12-31,c355,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,7016080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-12-31,c361,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,,3750000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-01-01,2016-12-31,c433,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,10766080.0,,0.0,3403.0,17.0,3047861.0,53024.0,53024.0,11364599.0,43.5,26062069.0,776903.0,363580.0,0.0,526157.0,112378.0,956152.0,1303060.0,475958.0,1180717.0,13817344.0,14644446.0,-827102.0,16.2,29.2,114116.0,3051264.0,3051264.0,9113614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-12-31,2016-12-31,c1294,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32661912,2016-12-31,2016-12-31,c5,,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2Q3LzQyL2U5Lzk5ODgtNDIyYi04MzRmLTY1MTU2N2NhMzJiNg.pdf,http://regnskaber.virk.dk/21916623/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzQ4LzA5L2YwLzMzNGItNDczMC05NzdiLWNmNzMxOTk1YWY3Mw.xml,289338.0,2000.0,4.0,4700.0,21.0,2018-05-25,2018-05-25,2009-12-01,2018-05-25,125.0,42280682.0,55770906.0,30700228.0,32661912.0,30700228.0,125000.0,2016-01-01,2016-12-31,2017-12-31,2017-01-01,2018-05-25,55737333.0,Revisionsp̴tegning,urn:ofk:oid:25587084,indberetninger-20180424,2.5118417999999996,32661912.0,AWOsQPdC0wkEsASktIn-,2018-05-29T14:15:52.482Z,2018-05-29T14:15:25.886Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-01-YE,2018-05-29T14:15:26.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97231827.0,2181432.0,125000.0,96166067.0,15932.0,103196.0,241060.0,64048742.0,97231827.0,54843145.0,824700.0,64048742.0,1065760.0,824700.0,108000.0,0.0,6889820.0,455.0,0.0,241060.0,3750000.0,108000.0,38405682.0,10360223.0,0.0,54843145.0,18920887.0,29935893.0,10260387.0,2299878.0,16372337.0,19555923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
