entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsOfEquityRelatedToInvestments,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestIncomeFromGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Distributions,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,EquityTransfersToReserves,ValueAdjustmentsOfEquity,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
24245993,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,-44868.0,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,445338.0,Ãrsrapport,275563.0,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,275563.0,Herning,2017-01-01,2017-12-31,676033.0,676033.0,-44868.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,0.0,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-12-31,c213,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,-120305.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-12-31,c215,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,445338.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-12-31,c218,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,342000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-12-31,c221,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,9000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,27118255.0,11109.0,17650849.0,3387.0,372000.0,26092655.0,27118255.0,1025600.0,22513786.0,22513786.0,1000000.0,22513786.0,1000000.0,6063786.0,2006020.0,25600.0,4593360.0,4589973.0,,,,,,,,
24245993,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,17650849.0,,,,,,,,,,,,,,,,,,,,
24245993,2018-01-01,2018-01-01,c233,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,6063786.0,,,,,,,,,,,,,,,,,,,,
24245993,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,2006020.0,,,,,,,,,,,,,,,,,,,,
24245993,2018-01-01,2018-01-01,c257,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzc1LzNkLzBjL2EwMmUtNDllMi1hODRlLTg2MzRlY2YzNWJjYQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkL2I0LzQ3LzJhL2RkY2ItNDMwOS1iYjU5LTE5ZWFlMjZkZmI5Zg.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,c/o EgetÃ¦pper A/S,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-4571.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-20,1999-10-16,2019-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2018-12-31,2018-01-01,445627.0,true,2019-03-20,Herning,,urn:ofk:oid:27067724,indberetninger-20180424,2.5124211,24245993.0,AWp4nG4gRYGX6_YTHVCV,2019-05-02T12:54:49.346Z,2019-05-02T12:54:38.429Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-39-FP,2019-05-02T12:54:38.620Z,,,,,,372000.0,,,,,,,,,,,,,,,,,,,,
