entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsOfEquityRelatedToInvestments,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestIncomeFromGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Distributions,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermPayables,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,EquityTransfersToReserves,ValueAdjustmentsOfEquity,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
24245993,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,-50727.0,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,190075.0,Ãrsrapport,277232.0,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,277232.0,Herning,2016-01-01,2016-12-31,416580.0,416580.0,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,0.0,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2016-01-01,2016-12-31,c177,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,342000.0,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2016-01-01,2016-12-31,c185,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,190075.0,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2016-01-01,2016-12-31,c193,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,13000.0,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,-128495.0,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
24245993,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,26786203.0,11109.0,17650849.0,3864.0,363000.0,25760703.0,26786203.0,1025500.0,22070529.0,22070529.0,1000000.0,22070529.0,1000000.0,25500.0,5620529.0,2126325.0,25500.0,4704565.0,4700701.0,,,,,,,,
24245993,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,17650849.0,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-01-01,c235,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,5620529.0,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,2126325.0,,,,,,,,,,,,,,,,,,,,,
24245993,2017-01-01,2017-01-01,c258,,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2VmL2IwLzk0L2YxN2MtNDc3MS05OTkzLTc5NDVhOTMxZmUyNQ.pdf,http://regnskaber.virk.dk/39954242/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2MwLzEyLzMwLzdkOGUtNDgyYy05MTJhLTM0NmI3MGMxZDBlMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,7400 Herning,Dalgasgade 27,7400 Herning,Vestergade 20,DK-7400 Herning,Birk Centerpark 30,Til ledelsen i Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,-2081.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af fondens aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af fondens aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-03-20,1993-01-25,2018-03-20,Statsautoriseret revisor,,20222670.0,24245993.0,20222670.0,mne10056,Bestyrelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond.,,Ãrsrapport,,1000000.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Gert N. S. Jensen,Danske Bank,Den Selvejende Institution Textilforum (Herning KlÃ¦defabrik) Fond,BDO Statsautoriseret revisionsaktieselskab,,Herning,2016-01-01,2016-12-31,,,Herning,2017-12-31,2017-01-01,445338.0,true,2018-03-20,Herning,,urn:ofk:oid:25387056,indberetninger-20180424,2.5124327999999996,24245993.0,AWMbVd92x8uVRSOdgJBj,2018-05-01T10:53:23.368Z,2018-05-01T10:53:12.193Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-25-CR,2018-05-01T10:53:12.524Z,,,,,,363000.0,,,,,,,,,,,,,,,,,,,,,
