entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
30989740,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,1.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,1312598.0,1382937.0,53274.0,70082.0,70339.0,257.0,16808.0,,,,,,,,,,,,,,,,,,,,
30989740,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,-53274.0,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2017-12-31,2017-12-31,ID_4,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,,,,,,869980.0,544991.0,125000.0,855056.0,0.0,14924.0,578329.0,869980.0,291651.0,14924.0,14924.0,233924.0,30129.0,453329.0,291651.0,310065.0,279936.0,4957.0,52770.0,
30989740,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,Joachim Fietz
30989740,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,1479315.0,1558858.0,58408.0,78186.0,79543.0,1357.0,19778.0,,,,,,,,,,,,,,,,,,,,
30989740,2018-01-01,2018-12-31,ID_5,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,1.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,-58408.0,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2018-12-31,2018-12-31,ID_3,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q0LzljL2FmLzNlZjktNDk4MC04MDVmLWY0ZGU1ZDFiZjM1NA.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzExLzE4LzlkLzQyL2U4MDgtNDI2Yy1iZTBhLTYyYmI2MDJiNjI1OQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2007-11-01,2019-04-11,70273730.0,30989740.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Insight A/S,Herlev,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2018-12-31,2018-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:26983590,indberetninger-20180424,2.5097342,30989740.0,AWoQ0SokRYGX6_YTG1KF,2019-04-12T09:12:17.970Z,2019-04-12T09:11:43.946Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-76-CY,2019-04-12T09:11:44.091Z,,,,,,,,950939.0,258416.0,125000.0,936015.0,7575.0,14924.0,636737.0,950939.0,314202.0,14924.0,14924.0,271067.0,44033.0,511737.0,314202.0,677599.0,625991.0,10052.0,33083.0,
