entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,ValueAdjustmentsOfEquity,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,OtherEmployeeExpense,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,NoncurrentDeferredTaxAssets,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfDevelopmentInActivitiesAndFinancialAffairs,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,IdentificationOfApprovedAnnualReport,InformationOnAnyPartOfLiabilityFallingDueInMoreThanFiveYears,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
21595772,2017-04-01,2017-04-01,c309,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,125000.0,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2017-04-01,2017-04-01,c354,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,1915505.0,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2017-04-01,2018-03-31,c195,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,704083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2017-04-01,2018-03-31,c310,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2017-04-01,2018-03-31,c355,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,704083.0,607667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2017-04-01,2018-03-31,c4,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,704083.0,,0.0,1174.0,5.0,-5631.0,12991.0,5210427.0,5808115.0,318817.0,1372083.0,89044.0,203973.0,298215.0,699626.0,584697.0,7180198.0,61930.0,-4457.0,-4457.0,4531465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2018-03-31,2018-03-31,c5,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,3352255.0,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,,,,,,,,,,,,,,,,,,,,,5844800.0,677198.0,125000.0,5806349.0,6335.0,33791.0,5844800.0,4660.0,519181.0,38451.0,4660.0,519181.0,916888.0,134675.0,33791.0,3227255.0,37346.0,1973364.0,1019130.0,5129151.0,4982510.0,0.0,5631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2018-04-01,2018-04-01,c235,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386797.0,420588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2018-04-01,2018-04-01,c312,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,125000.0,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21595772,2018-04-01,2018-04-01,c351,,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2MxL2I5L2JmL2Y1LzE2NjUtNGJmMy04NjQ4LTBjY2VlNjg0ZGM4ZQ.pdf,http://regnskaber.virk.dk/27759512/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzI0LzE1L2RhL2YxZDEtNDk1My05NGFiLWQ5NjQ0YTY2ZGRjOQ.xml,true,2000.0,4.0,2730.0,2019-09-30,2019-09-30,1999-01-01,2019-09-30,15694.0,11440.0,3227255.0,30700228.0,21595772.0,30700228.0,2017-04-01,2018-03-31,2019-03-31,2018-04-01,true,2019-09-30,44209855.0,Revisionsp̴tegning,urn:ofk:oid:27874645,indberetninger-20180424,2.5097437,21595772.0,AW2GghMsIXJRhhXBOIlY,2019-10-01T08:49:13.385Z,2019-10-01T08:48:53.836Z,regnskab,0.0,,2019-03-31,2018-04-01,X19-CY-11-YV,2019-10-01T08:48:54.133Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
