entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
25448790,2016-10-01,2017-09-30,ID_12,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,6.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2016-10-01,2017-09-30,ID_13,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,325096.0,6872637.0,8880508.0,1043207.0,814795.0,1113043.0,1454363.0,1682775.0,341320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2016-10-01,2017-09-30,ID_15,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,-1113043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2017-09-30,2017-09-30,ID_10,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,,,,,20857047.0,5129495.0,125000.0,20416652.0,91037.0,180721.0,72979.0,12008670.0,367416.0,34049.0,20857047.0,8848377.0,72979.0,440395.0,1734172.0,367416.0,34049.0,11883670.0,3697450.0,8848377.0,2472687.0,15253108.0,11946711.0,501111.0,442957.0,3034639.0,,,
25448790,2017-10-01,2018-09-30,ID_0,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,182094.0,8293312.0,9630322.0,879157.0,548332.0,621417.0,824091.0,1154916.0,202674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2017-10-01,2018-09-30,ID_1,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2017-10-01,2018-09-30,ID_11,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,7.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2017-10-01,2018-09-30,ID_14,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,-621417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2017-10-01,2018-09-30,ID_2,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2017-10-01,2018-09-30,ID_3,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MxL2Y5LzdjL2RiODItNGFhNi05Y2VlLTQxNTRhNDdjMzk2MA.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzIzLzRmLzk0LzUxL2U4NWMtNDYzNi1hOGM1LTVlNDY4ODE4YjE4ZQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2018 and of the results of the Company's operations for the financial year 1 October 2017 - 30 September 2018.",2019-02-27,2019-02-27,2000-06-14,2019-02-27,70729902.0,20222670.0,25448790.0,25074823.0,mne32094,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2017 - 30 September 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Brian Olsen Halling,Peter Ole Jensen,BDO,Avaya Denmark ApS,Azets Insight A/S,Copenhagen,2016-10-01,2017-09-30,We recommend that the Annual Report be adopted at the Annual General Meeting.,"KÃ¸benhavn, 101",2018-09-30,2017-10-01,false,2019-02-27,Copenhagen,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:26745845,indberetninger-20180424,2.5124211,25448790.0,AWkzc-UcRYGX6_YTFa1Y,2019-02-28T09:34:28.552Z,2019-02-28T09:33:46.585Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AN-93-TC,2019-02-28T09:33:46.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
